Date,Product ID,Inventory levels,Shipping carriers,Warehouse ID,Reorder Point,Safety Stock
01/09/2023,SKU0,58,Carrier B,Warehouse 2,1368.4,406
02/09/2023,SKU1,53,Carrier A,Warehouse 1,3062,1590
03/09/2023,SKU2,1,Carrier B,Warehouse 2,19.86666667,10
04/09/2023,SKU3,23,Carrier C,Warehouse 3,384.7666667,299
05/09/2023,SKU4,5,Carrier A,Warehouse 1,189.2,15
06/09/2023,SKU5,90,Carrier B,Warehouse 2,2645.6,2430
07/09/2023,SKU6,11,Carrier C,Warehouse 3,249.5,165
08/09/2023,SKU7,93,Carrier B,Warehouse 2,1836.6,1581
09/09/2023,SKU8,5,Carrier C,Warehouse 3,140,50
10/09/2023,SKU9,14,Carrier A,Warehouse 1,2011.333333,378
11/09/2023,SKU10,51,Carrier C,Warehouse 3,1260.6,663
12/09/2023,SKU11,46,Carrier A,Warehouse 1,2146,1058
13/09/2023,SKU12,100,Carrier A,Warehouse 1,3369.6,3000
14/09/2023,SKU13,80,Carrier A,Warehouse 1,789.4,640
15/09/2023,SKU14,54,Carrier B,Warehouse 2,2371.533333,1566
16/09/2023,SKU15,9,Carrier B,Warehouse 2,306.5,72
17/09/2023,SKU16,2,Carrier B,Warehouse 2,252.6666667,10
18/09/2023,SKU17,45,Carrier C,Warehouse 3,903.6,765
19/09/2023,SKU18,10,Carrier C,Warehouse 3,658,100
20/09/2023,SKU19,48,Carrier A,Warehouse 1,696.3,528
21/09/2023,SKU20,27,Carrier A,Warehouse 1,516,324
22/09/2023,SKU21,69,Carrier B,Warehouse 2,2305.966667,1725
23/09/2023,SKU22,71,Carrier A,Warehouse 1,925.5333333,71
24/09/2023,SKU23,84,Carrier A,Warehouse 1,863.1333333,420
25/09/2023,SKU24,4,Carrier C,Warehouse 3,306.0333333,104
26/09/2023,SKU25,82,Carrier C,Warehouse 3,1062.933333,902
27/09/2023,SKU26,59,Carrier B,Warehouse 2,1179.333333,944
28/09/2023,SKU27,47,Carrier C,Warehouse 3,575.5333333,423
29/09/2023,SKU28,48,Carrier B,Warehouse 2,1008.933333,720
30/09/2023,SKU29,45,Carrier B,Warehouse 2,326.2,225
01/10/2023,SKU30,60,Carrier B,Warehouse 2,2170.4,1560
02/10/2023,SKU31,6,Carrier B,Warehouse 2,242,102
03/10/2023,SKU32,89,Carrier C,Warehouse 3,1677.666667,1157
04/10/2023,SKU33,4,Carrier C,Warehouse 3,889.3333333,68
05/10/2023,SKU34,1,Carrier A,Warehouse 1,748.4,26
06/10/2023,SKU35,42,Carrier C,Warehouse 3,1568.033333,1134
07/10/2023,SKU36,18,Carrier B,Warehouse 2,1762.2,414
08/10/2023,SKU37,25,Carrier A,Warehouse 1,938.3,200
09/10/2023,SKU38,69,Carrier B,Warehouse 2,374.5,69
10/10/2023,SKU39,78,Carrier A,Warehouse 1,2467.333333,2262
11/10/2023,SKU40,90,Carrier C,Warehouse 3,2453.1,1800
12/10/2023,SKU41,64,Carrier B,Warehouse 2,1697.866667,1216
13/10/2023,SKU42,22,Carrier C,Warehouse 3,769.6666667,594
14/10/2023,SKU43,36,Carrier B,Warehouse 2,2080.533333,1044
15/10/2023,SKU44,13,Carrier C,Warehouse 3,1380.433333,247
16/10/2023,SKU45,93,Carrier B,Warehouse 2,676.6,651
17/10/2023,SKU46,92,Carrier B,Warehouse 2,4156.933333,2668
18/10/2023,SKU47,4,Carrier B,Warehouse 2,1121.666667,60
19/10/2023,SKU48,30,Carrier C,Warehouse 3,512.8666667,480
20/10/2023,SKU49,97,Carrier C,Warehouse 3,2499.6,2328
21/10/2023,SKU50,31,Carrier A,Warehouse 1,1641.4,713
22/10/2023,SKU51,100,Carrier A,Warehouse 1,564.2666667,400
23/10/2023,SKU52,64,Carrier B,Warehouse 2,1742.666667,704
24/10/2023,SKU53,96,Carrier B,Warehouse 2,2738.8,2400
25/10/2023,SKU54,33,Carrier B,Warehouse 2,1783.4,726
26/10/2023,SKU55,97,Carrier A,Warehouse 1,1440.866667,1067
27/10/2023,SKU56,25,Carrier C,Warehouse 3,733.1,575
28/10/2023,SKU57,5,Carrier B,Warehouse 2,415.3666667,90
29/10/2023,SKU58,10,Carrier A,Warehouse 1,408.4,50
30/10/2023,SKU59,100,Carrier B,Warehouse 2,1922.666667,1600
31/10/2023,SKU60,41,Carrier C,Warehouse 3,1753,1107
01/11/2023,SKU61,32,Carrier C,Warehouse 3,872.5,736
02/11/2023,SKU62,86,Carrier C,Warehouse 3,316,172
03/11/2023,SKU63,54,Carrier A,Warehouse 1,1263.8,1026
04/11/2023,SKU64,73,Carrier C,Warehouse 3,2118.4,1971
05/11/2023,SKU65,57,Carrier C,Warehouse 3,2053.5,1368
06/11/2023,SKU66,13,Carrier A,Warehouse 1,1277,221
07/11/2023,SKU67,12,Carrier C,Warehouse 3,450,108
08/11/2023,SKU68,0,Carrier B,Warehouse 2,141.2666667,0
09/11/2023,SKU69,95,Carrier B,Warehouse 2,231.2666667,95
10/11/2023,SKU70,10,Carrier B,Warehouse 2,149.8666667,120
11/11/2023,SKU71,76,Carrier A,Warehouse 1,406.8,152
12/11/2023,SKU72,57,Carrier A,Warehouse 1,2290.333333,1653
13/11/2023,SKU73,17,Carrier B,Warehouse 2,787.5,425
14/11/2023,SKU74,41,Carrier A,Warehouse 1,698,246
15/11/2023,SKU75,16,Carrier C,Warehouse 3,429.5333333,320
16/11/2023,SKU76,38,Carrier A,Warehouse 1,238.8333333,38
17/11/2023,SKU77,96,Carrier B,Warehouse 2,3082.9,2688
18/11/2023,SKU78,5,Carrier B,Warehouse 2,808.3333333,20
19/11/2023,SKU79,31,Carrier B,Warehouse 2,1019.2,775
20/11/2023,SKU80,39,Carrier C,Warehouse 3,1098.266667,546
21/11/2023,SKU81,48,Carrier B,Warehouse 2,468.6,288
22/11/2023,SKU82,42,Carrier A,Warehouse 1,1302,798
23/11/2023,SKU83,65,Carrier B,Warehouse 2,2200.9,1560
24/11/2023,SKU84,73,Carrier A,Warehouse 1,2886.8,1898
25/11/2023,SKU85,15,Carrier C,Warehouse 3,286.6666667,270
26/11/2023,SKU86,32,Carrier B,Warehouse 2,685.8666667,448
27/11/2023,SKU87,5,Carrier A,Warehouse 1,98.2,35
28/11/2023,SKU88,60,Carrier A,Warehouse 1,1792.433333,1080
29/11/2023,SKU89,90,Carrier B,Warehouse 2,143.6,90
30/11/2023,SKU90,66,Carrier B,Warehouse 2,1465.333333,1188
01/12/2023,SKU91,98,Carrier B,Warehouse 2,3682.666667,2156
02/12/2023,SKU92,90,Carrier B,Warehouse 2,2746.8,2250
03/12/2023,SKU93,63,Carrier C,Warehouse 3,1211.6,1071
04/12/2023,SKU94,77,Carrier B,Warehouse 2,3318,2002
05/12/2023,SKU95,15,Carrier B,Warehouse 2,1106,210
06/12/2023,SKU96,67,Carrier C,Warehouse 3,458,134
07/12/2023,SKU97,46,Carrier A,Warehouse 1,940.1333333,874
08/12/2023,SKU98,53,Carrier B,Warehouse 2,357.3333333,53
09/12/2023,SKU99,55,Carrier B,Warehouse 2,649,440
