Date,Order ID,Customer ID,Product ID,Order quantities,Fullfillment Status,Delivery Date,Ontime Deliery
01-Sep-23,Order No. 1 - SKU1,Customer-001,SKU0,96,Pending,02-Sep-23,TRUE
02-Sep-23,Order No. 2 - SKU2,Customer-002,SKU1,37,Pending,03-Sep-23,TRUE
03-Sep-23,Order No. 3 - SKU3,Customer-003,SKU2,88,Pending,04-Sep-23,TRUE
04-Sep-23,Order No. 4 - SKU4,Customer-004,SKU3,59,Fail,N/A,FALSE
05-Sep-23,Order No. 5 - SKU5,Customer-005,SKU4,56,Fail,N/A,FALSE
06-Sep-23,Order No. 6 - SKU6,Customer-006,SKU5,66,Fail,N/A,FALSE
07-Sep-23,Order No. 7 - SKU7,Customer-007,SKU6,58,Pending,08-Sep-23,TRUE
08-Sep-23,Order No. 8 - SKU8,Customer-008,SKU7,11,Fail,N/A,FALSE
09-Sep-23,Order No. 9 - SKU9,Customer-009,SKU8,15,Pending,10-Sep-23,TRUE
10-Sep-23,Order No. 10 - SKU10,Customer-010,SKU9,83,Pending,11-Sep-23,TRUE
11-Sep-23,Order No. 11 - SKU11,Customer-011,SKU10,80,Pass,11-Sep-23,TRUE
12-Sep-23,Order No. 12 - SKU12,Customer-012,SKU11,60,Pending,13-Sep-23,TRUE
13-Sep-23,Order No. 13 - SKU13,Customer-013,SKU12,85,Fail,N/A,FALSE
14-Sep-23,Order No. 14 - SKU14,Customer-014,SKU13,48,Pending,15-Sep-23,TRUE
15-Sep-23,Order No. 15 - SKU15,Customer-015,SKU14,78,Pending,16-Sep-23,TRUE
16-Sep-23,Order No. 16 - SKU16,Customer-016,SKU15,69,Pass,16-Sep-23,TRUE
17-Sep-23,Order No. 17 - SKU17,Customer-017,SKU16,78,Pass,17-Sep-23,TRUE
18-Sep-23,Order No. 18 - SKU18,Customer-018,SKU17,85,Fail,N/A,FALSE
19-Sep-23,Order No. 19 - SKU19,Customer-019,SKU18,46,Pending,20-Sep-23,TRUE
20-Sep-23,Order No. 20 - SKU20,Customer-020,SKU19,94,Fail,N/A,FALSE
21-Sep-23,Order No. 21 - SKU21,Customer-021,SKU20,68,Pass,21-Sep-23,TRUE
22-Sep-23,Order No. 22 - SKU22,Customer-022,SKU21,7,Pending,23-Sep-23,TRUE
23-Sep-23,Order No. 23 - SKU23,Customer-023,SKU22,63,Fail,N/A,FALSE
24-Sep-23,Order No. 24 - SKU24,Customer-024,SKU23,29,Pending,25-Sep-23,TRUE
25-Sep-23,Order No. 25 - SKU25,Customer-025,SKU24,2,Pending,26-Sep-23,TRUE
